pathway,dimension,weight
fast,d1,-0.00035709387
fast,d1,0.0006867109
fast,d1,-0.0006588571
fast,d1,0.00075224706
fast,d1,-5.764961e-05
fast,d1,0.0006688298
fast,d1,0.000806068
fast,d1,-0.0018119607
fast,d1,-0.00041732457
fast,d1,-0.0007608117
fast,d1,8.422573e-05
fast,d1,0.00044912662
fast,d1,-0.009630679
fast,d1,-0.00023891366
fast,d1,0.000645211
fast,d1,0.00088024425
fast,d1,0.00011865818
fast,d1,0.00074429123
fast,d1,0.1141575
fast,d1,0.00028594036
fast,d1,0.0012510199
fast,d1,5.435961e-05
fast,d1,2.0280771e-05
fast,d1,0.00019757665
fast,d1,-0.37240556
fast,d1,0.0003879499
fast,d1,-3.2872777e-05
fast,d1,0.00045298602
fast,d1,0.00035773683
fast,d1,-0.0002663435
fast,d1,0.0005173518
fast,d1,0.00049664325
fast,d1,0.0006799277
fast,d1,0.0005540649
fast,d1,-0.0002231322
fast,d1,5.4125063e-05
fast,d1,-0.00094310497
fast,d1,0.00038385717
fast,d1,0.0009533691
fast,d1,0.0008590783
fast,d1,0.00027199654
fast,d1,-4.1881925e-05
fast,d1,0.00046005985
fast,d1,-0.00027834697
fast,d1,-0.00031083656
fast,d1,0.0010823742
fast,d1,-0.00048445055
fast,d1,0.00045481132
fast,d1,0.0031846848
fast,d1,-0.00031134536
fast,d1,-0.0003812812
fast,d1,-0.0004517369
fast,d1,-0.008452097
fast,d1,-0.0011118968
fast,d1,-0.0010126432
fast,d1,0.00030891292
fast,d1,0.00042717948
fast,d1,-0.0003377032
fast,d1,0.0044778446
fast,d1,-2.2135559e-05
fast,d1,0.002319723
fast,d1,-0.0006444852
fast,d1,0.0001969283
fast,d1,-0.00027919558
fast,d1,-0.35599732
fast,d1,0.00047550368
fast,d1,-0.0006757704
fast,d1,-0.0004833031
fast,d1,0.0006710291
fast,d1,-0.0007589259
fast,d1,-0.0004690457
fast,d1,-0.0005371048
fast,d1,-0.0002329495
fast,d1,-0.00024497506
fast,d1,-0.00023846849
fast,d1,4.7948764e-05
fast,d1,0.0011352578
fast,d1,-0.0006773259
fast,d1,-1.3141107e-05
fast,d1,0.0004175445
fast,d1,-0.0008388988
fast,d1,1.0065167e-05
fast,d1,0.00016099738
fast,d1,-0.0003188958
fast,d1,-0.0017709828
fast,d1,-0.0006525123
fast,d1,3.9363164e-05
fast,d1,0.0004789313
fast,d1,0.0026449605
fast,d1,-0.0002676612
fast,d1,-0.00078379246
fast,d1,-0.00018297185
fast,d1,-0.007865763
fast,d1,8.7920576e-05
fast,d1,-0.0011164193
fast,d1,0.00052164716
fast,d1,-0.0012091319
fast,d1,-0.00041555593
fast,d1,0.0048143063
fast,d1,0.000484718
fast,d1,0.0029678554
fast,d1,0.00026216317
fast,d1,-7.666275e-05
fast,d1,-0.00037325415
fast,d1,-0.36488608
fast,d1,0.0006337398
fast,d1,-0.00096042774
fast,d1,-0.00059221504
fast,d1,1.1339958e-05
fast,d1,-0.00083141675
fast,d1,0.0004846348
fast,d1,0.0008090452
fast,d1,0.0007860024
fast,d1,-0.000216779
fast,d1,6.0230173e-05
fast,d1,6.6171633e-06
fast,d1,0.00035651244
fast,d1,0.00038206545
fast,d1,-0.00060870475
fast,d1,0.00049572263
fast,d1,-0.00019488345
fast,d1,0.00070647855
fast,d1,0.0014214374
fast,d1,0.0010006143
fast,d1,-0.00013355189
fast,d1,0.00038284756
fast,d1,0.002010102
fast,d1,-0.00013531008
fast,d1,-0.00018025519
fast,d1,0.00032946886
fast,d1,-4.5981957e-05
fast,d1,-0.0006257394
fast,d1,-0.0064234016
fast,d1,-0.001179016
fast,d1,-0.00062646565
fast,d1,0.0007318523
fast,d1,0.0006761426
fast,d1,-0.0004170859
fast,d1,0.0035989056
fast,d1,-0.0008854767
fast,d1,0.0012129454
fast,d1,-0.0003804856
fast,d1,0.00055596244
fast,d1,0.00012436401
fast,d1,-0.553765
fast,d1,-0.0011711563
fast,d1,0.0018177212
fast,d1,0.00028514286
fast,d1,0.00096481823
fast,d1,-0.000102589795
fast,d1,-0.0007469603
fast,d1,-0.00016742936
fast,d1,-0.00024556718
fast,d1,0.0007946078
fast,d1,0.00024485542
fast,d1,-0.00014072971
fast,d1,-0.00054169446
fast,d1,2.785935e-05
fast,d1,-3.0067866e-05
fast,d1,0.00021065597
fast,d1,0.0011510313
fast,d1,-0.00014099365
fast,d1,-0.0011539409
fast,d1,0.0003991104
fast,d1,-0.00073087146
fast,d1,0.00010917342
fast,d1,-0.00035235938
fast,d1,-0.0002466432
fast,d1,-0.00040513286
fast,d1,0.00021044968
fast,d1,-0.0002179856
fast,d1,-0.00042759784
fast,d1,-0.008080237
fast,d1,0.000172459
fast,d1,0.00090953655
fast,d1,-0.00012654738
fast,d1,-0.00015283862
fast,d1,-0.0015333777
fast,d1,0.0044705593
fast,d1,0.00021897751
fast,d1,0.0025513615
fast,d1,-0.00022346928
fast,d1,0.00057835365
fast,d1,-0.00047819337
fast,d1,-0.5648201
fast,d1,0.00066504045
fast,d1,0.00068033265
fast,d1,-0.0007022365
fast,d1,-0.0010133383
fast,d1,-4.9551745e-05
fast,d1,0.000335356
fast,d1,-0.0009272473
fast,d1,-0.0002611513
fast,d1,-0.00012281012
fast,d1,3.6769416e-05
fast,d1,-0.00069804216
fast,d1,-0.00035123085
fast,d1,-0.0010709319
fast,d1,-0.0006178314
fast,d1,-0.00047780733
fast,d1,0.0005546265
fast,d1,-0.00053589675
fast,d1,0.00027851202
fast,d1,-0.00023850854
fast,d1,-5.217268e-05
fast,d1,0.00074355496
fast,d1,0.0007510884
fast,d1,-0.0007012369
fast,d1,0.0021932242
fast,d1,0.0006261286
fast,d1,0.0011996288
fast,d1,-7.5604476e-05
fast,d1,-0.009049529
fast,d1,8.4825995e-05
fast,d1,0.0011591907
fast,d1,-0.0005786228
fast,d1,-0.00015230119
fast,d1,0.0014285132
fast,d1,0.00455621
fast,d1,0.0010340031
fast,d1,0.0011254214
fast,d1,-0.0029311175
fast,d1,-0.0004025502
fast,d1,-0.0007679296
fast,d1,-0.45765415
fast,d1,-0.00016924375
fast,d1,-0.00046290283
fast,d1,-0.00063430006
fast,d1,-0.00029562175
fast,d1,0.0001970717
fast,d1,0.00083322014
fast,d1,7.207578e-06
fast,d1,0.00010088319
fast,d1,2.3705652e-06
fast,d1,0.0009122229
fast,d1,-0.0009799417
fast,d1,0.0005064871
fast,d1,-0.0015243618
fast,d1,0.0004577101
fast,d1,-0.00066797255
fast,d1,0.00010802329
fast,d1,0.0007331311
fast,d1,0.00068987964
fast,d1,0.000727772
fast,d1,-0.00080551486
fast,d1,0.00033786416
fast,d1,0.001516358
fast,d1,-0.0002747642
fast,d1,-0.00039597193
fast,d1,0.0002951498
fast,d1,-0.0012934629
fast,d1,0.00033289005
fast,d1,-0.0066229766
fast,d1,-0.0021315555
fast,d1,0.0010722133
fast,d1,-5.8128753e-06
fast,d1,0.0006524805
fast,d1,0.0013337154
fast,d1,0.005339786
fast,d1,0.0010894997
fast,d1,0.0017880693
fast,d1,0.0008743531
fast,d1,0.0009612927
fast,d1,-0.00070485205
fast,d1,-0.46555567
fast,d1,0.00020486955
fast,d1,0.0006981577
fast,d1,-0.00020213384
fast,d1,0.00033480074
fast,d1,0.00045537952
fast,d1,0.000741856
fast,d1,0.0003455668
fast,d1,-0.00020038438
fast,d1,-0.0007875273
fast,d1,-0.00036778345
fast,d1,2.0669831e-06
fast,d1,0.0004083507
fast,d1,0.00055458443
fast,d1,0.0004194937
fast,d1,8.7638575e-05
fast,d1,-0.001150776
fast,d1,0.00029872943
fast,d1,0.0004401019
fast,d1,-0.00069916877
fast,d1,-0.0020349366
fast,d1,-0.00033800045
fast,d2,0.005874893
fast,d2,0.0005647445
fast,d2,-5.1657407e-05
fast,d2,0.0010342514
fast,d2,0.0006286204
fast,d2,-0.00027670088
fast,d2,-0.013926176
fast,d2,-0.010420112
fast,d2,0.00012403808
fast,d2,0.00037734612
fast,d2,0.00048204756
fast,d2,4.0132843e-05
fast,d2,0.002007398
fast,d2,-0.00034727913
fast,d2,-0.004587643
fast,d2,-0.006193945
fast,d2,-0.0006446665
fast,d2,-0.0013645394
fast,d2,-0.14781961
fast,d2,-0.0005665894
fast,d2,0.0013486474
fast,d2,-1.41333585e-05
fast,d2,0.0006766427
fast,d2,-0.00013542839
fast,d2,-0.00082311
fast,d2,-0.0007018179
fast,d2,0.0022132897
fast,d2,-0.00017214683
fast,d2,8.550813e-05
fast,d2,-0.00077156664
fast,d2,-0.00021014267
fast,d2,-0.00020408104
fast,d2,0.0013179535
fast,d2,0.0012388712
fast,d2,0.00010362088
fast,d2,-0.00028633067
fast,d2,0.006867679
fast,d2,0.00041938992
fast,d2,-0.00065404945
fast,d2,0.00041035167
fast,d2,0.0028688763
fast,d2,-1.3641416e-05
fast,d2,-0.00063626503
fast,d2,0.00023732602
fast,d2,0.0007308023
fast,d2,0.0002649011
fast,d2,-0.013822979
fast,d2,-0.0022322785
fast,d2,0.0007973427
fast,d2,-0.00070985215
